id,name,description,rus_description
51,"Ненадёжная защита данных при взаимодействии с внешними подрядчиками","Inadequate data protection when working with external contractors can result in data breaches or unauthorized access, especially if contractors fail to implement proper security measures. Such risks underscore the importance of stringent security agreements and monitoring practices.","Недостаточная защита данных при работе с внешними подрядчиками может привести к утечкам данных или несанкционированному доступу, особенно если подрядчики не внедряют надлежащие меры безопасности. Эти риски подчеркивают важность строгих соглашений о безопасности и практик мониторинга."
52,"Необоснованный доступ подрядчиков к критичным системам","Excessive or unwarranted access to critical systems by contractors can lead to data breaches or intentional attacks, especially if their activities are not adequately monitored. Implementing strict access controls and auditing is essential to mitigate these risks.","Чрезмерный или необоснованный доступ подрядчиков к критическим системам может привести к утечкам данных или преднамеренным атакам, особенно если их деятельность не контролируется должным образом. Внедрение строгих средств контроля доступа и аудита необходимо для снижения этих рисков."
53,"Использование несоответствующих стандартам систем и решений","Utilizing systems and solutions that fail to meet established security standards can introduce vulnerabilities, making them prone to attacks such as unauthorized access or data leaks. Adopting certified solutions and adhering to best practices minimizes these risks.","Использование систем и решений, которые не соответствуют установленным стандартам безопасности, может создать уязвимости, делая их подверженными атакам, таким как несанкционированный доступ или утечка данных. Применение сертифицированных решений и соблюдение передовых практик минимизирует эти риски."
54,"Проблемы с контролем доступа к API","Poorly configured or inadequately secured APIs pose a risk to system integrity, allowing attackers to access sensitive information or perform unauthorized actions. Implementing robust authentication, rate limiting, and monitoring is essential to secure APIs.","Плохо настроенные или недостаточно защищенные API представляют угрозу целостности системы, позволяя злоумышленникам получать доступ к конфиденциальной информации или выполнять несанкционированные действия. Внедрение надежной аутентификации, ограничения частоты и мониторинга необходимо для защиты API."
55,"Подделка или манипуляция данными на сервере","Manipulation of server data by attackers involves falsifying, altering, or deleting records to achieve malicious objectives. This can disrupt operations and mislead users, highlighting the need for data integrity checks and robust server security measures.","Манипуляция данными сервера злоумышленниками включает фальсификацию, изменение или удаление записей для достижения злонамеренных целей. Это может нарушить работу и ввести пользователей в заблуждение, подчеркивая необходимость проверок целостности данных и надежных мер безопасности сервера."
56,"Отсутствие или слабая защита в виртуализированных средах","Virtualized environments, such as virtual machines, can become targets for attacks if not adequately secured. Exploiting vulnerabilities in these environments can allow attackers to compromise data or systems. Strong isolation and monitoring are crucial for protection.","Виртуализированные среды, такие как виртуальные машины, могут стать целями для атак, если они недостаточно защищены. Использование уязвимостей в этих средах может позволить злоумышленникам скомпрометировать данные или системы. Сильная изоляция и мониторинг имеют решающее значение для защиты."
57,"Утечка данных через ошибочно настроенные сетевые устройства","Improper configuration of network devices, such as routers or switches, can expose sensitive data or allow unauthorized access to internal networks. Regular configuration reviews and adherence to security protocols are necessary to prevent such leaks.","Неправильная настройка сетевых устройств, таких как маршрутизаторы или коммутаторы, может привести к утечке конфиденциальных данных или несанкционированному доступу к внутренним сетям. Регулярные проверки конфигурации и соблюдение протоколов безопасности необходимы для предотвращения таких утечек."
58,"Неадекватное шифрование конфиденциальных данных","Inadequate encryption of sensitive data or the lack of encryption altogether increases the risk of exposure to attackers during data breaches or interceptions. Employing strong encryption standards ensures data confidentiality and security.","Неадекватное шифрование конфиденциальных данных или его отсутствие увеличивает риск их раскрытия для злоумышленников во время утечек данных или перехватов. Использование надежных стандартов шифрования обеспечивает конфиденциальность и безопасность данных."
59,"Нарушение целостности данных через ошибочные системы резервного копирования","Errors in backup systems can lead to data corruption or failure to restore complete copies, making information vulnerable to loss. Implementing rigorous testing and validation of backup processes helps maintain data integrity and availability.","Ошибки в системах резервного копирования могут привести к повреждению данных или невозможности восстановить полные копии, делая информацию уязвимой для потерь. Внедрение строгого тестирования и проверки процессов резервного копирования помогает поддерживать целостность и доступность данных."
60,"Отсутствие защиты на уровне BIOS/UEFI","Devices lacking BIOS or UEFI-level protection are vulnerable to pre-boot attacks, such as those targeting the bootloader or implanting malicious code before the operating system loads. Secure boot mechanisms and firmware updates are critical for safeguarding systems.","Устройства, не имеющие защиты на уровне BIOS или UEFI, уязвимы для атак до загрузки, таких как атаки на загрузчик или внедрение вредоносного кода до загрузки операционной системы. Механизмы безопасной загрузки и обновления прошивки имеют решающее значение для защиты систем."
61,"Проблемы с физическим доступом в серверные комнаты","Poor physical security of server rooms can lead to unauthorized access to equipment, allowing attackers to manipulate systems, copy data, or even destroy devices. Ensuring robust physical security measures, such as biometric access controls, surveillance cameras, and security personnel, is essential to mitigate these risks.","Плохая физическая безопасность серверных комнат может привести к несанкционированному доступу к оборудованию, позволяя злоумышленникам манипулировать системами, копировать данные или даже уничтожать устройства. Обеспечение надежных мер физической безопасности, таких как биометрический контроль доступа, камеры видеонаблюдения и охрана, имеет важное значение для снижения этих рисков."
62,"Невозможность восстановить данные из резервных копий","The absence or mismanagement of data backups can result in the inability to recover data after an incident, which can be catastrophic for a business. Regular testing of backup procedures, ensuring off-site storage, and implementing a clear disaster recovery plan are vital to safeguard against data loss.","Отсутствие или неправильное управление резервными копиями данных может привести к невозможности восстановить данные после инцидента, что может быть катастрофическим для бизнеса. Регулярное тестирование процедур резервного копирования, обеспечение хранения вне помещения и внедрение четкого плана восстановления после катастрофы имеют важное значение для защиты от потери данных."
63,"Физическая кража устройств с конфиденциальной информацией","The theft of mobile devices or computers containing confidential information can lead to data breaches if these devices are not properly secured (e.g., through encryption). Employing strong encryption, remote wiping capabilities, and physical security measures can help protect sensitive data from unauthorized access.","Кража мобильных устройств или компьютеров, содержащих конфиденциальную информацию, может привести к утечкам данных, если эти устройства не защищены должным образом (например, с помощью шифрования). Применение надежного шифрования, функций удаленного стирания и мер физической безопасности может помочь защитить конфиденциальные данные от несанкционированного доступа."
64,"Нарушение политики безопасности на уровне поставщиков оборудования","Security breaches from equipment suppliers, such as improper configurations or vulnerabilities within the devices, can result in these devices being exploited for attacks or data leaks. Establishing stringent security requirements and conducting regular audits of vendor products is crucial to mitigate these risks.","Нарушения безопасности со стороны поставщиков оборудования, такие как неправильные настройки или уязвимости в устройствах, могут привести к использованию этих устройств для атак или утечек данных. Установление строгих требований к безопасности и проведение регулярных аудитов продуктов поставщиков имеют решающее значение для снижения этих рисков."
65,"Использование ненадежных сертификатов и протоколов SSL/TLS","Using outdated or unreliable certificates and SSL/TLS protocols can lead to interception or modification of traffic by attackers. This is especially important for protecting transactions and confidential information.","Использование устаревших или ненадежных сертификатов и протоколов SSL/TLS может привести к перехвату или изменению трафика злоумышленниками. Это особенно важно для защиты транзакций и конфиденциальной информации."
66,"Подделка или утечка сертификатов безопасности","Counterfeiting or leaking security certificates can allow attackers to impersonate legitimate services and deceive users, creating fake websites or conducting data manipulation attacks.","Подделка или утечка сертификатов безопасности может позволить злоумышленникам выдавать себя за легитимные службы и обманывать пользователей, создавая поддельные веб-сайты или проводя атаки на манипуляцию данными."
67,"Атаки на систему связи через VoIP","Attacks on VoIP systems, such as call interception or injecting malicious messages, can lead to data leaks, reputational damage, or even financial losses.","Атаки на системы VoIP, такие как перехват звонков или внедрение вредоносных сообщений, могут привести к утечкам данных, репутационному ущербу или даже финансовым потерям."
68,"Мошенничество с использованием телефонных звонков","Fraudsters can use phone calls for social engineering to obtain confidential information, such as passwords or credit card details.","Мошенники могут использовать телефонные звонки для социальной инженерии с целью получения конфиденциальной информации, такой как пароли или данные кредитных карт."
69,"Атаки через приложения и устройства интернета вещей (IoT)","IoT devices, such as smart home devices and medical equipment, can be vulnerable to attacks if they are not properly secured. Attackers can exploit vulnerabilities in these devices to gain access to data or networks.","Устройства IoT, такие как устройства умного дома и медицинское оборудование, могут быть уязвимы для атак, если они не защищены должным образом. Злоумышленники могут использовать уязвимости в этих устройствах для получения доступа к данным или сетям."
70,"Нарушение защиты данных через неправильное управление базами данных","Mismanagement of databases can lead to data leaks or unauthorized access to confidential information. This includes improper configuration of access rights, lack of encryption, or incorrect use of backups.","Неправильное управление базами данных может привести к утечкам данных или несанкционированному доступу к конфиденциальной информации. Это включает неправильную настройку прав доступа, отсутствие шифрования или некорректное использование резервных копий."
71,"Вредоносное использование данных через публичные компьютеры","Using public or shared computers (e.g., in libraries or internet cafes) to access confidential data can lead to information leaks or system infections with viruses if the computer is not properly secured. It is essential to avoid accessing sensitive information on untrusted devices and to ensure strong security measures are in place.","Использование общедоступных или совместных компьютеров (например, в библиотеках или интернет-кафе) для доступа к конфиденциальным данным может привести к утечкам информации или заражению системы вирусами, если компьютер не защищен должным образом. Важно избегать доступа к конфиденциальной информации на ненадежных устройствах и обеспечивать наличие надежных мер безопасности."
72,"Несоответствие системы безопасности международным стандартам","If a security system does not comply with international standards and regulations (e.g., ISO 27001, GDPR), it can lead to vulnerabilities and legal consequences, including fines and data breaches. Organizations must implement and maintain compliance with relevant security frameworks to mitigate these risks.","Если система безопасности не соответствует международным стандартам и регламентам (например, ISO 27001, GDPR), это может привести к уязвимостям и юридическим последствиям, включая штрафы и утечки данных. Организации должны внедрять и поддерживать соответствие актуальным стандартам безопасности для снижения этих рисков."
73,"Сбор и распространение данных без согласия пользователя","Collecting personal data from users without their consent violates data protection laws (e.g., GDPR). This can lead to data leaks or legal actions against the organization. Organizations must ensure clear consent mechanisms and transparency in data collection practices.","Сбор личных данных у пользователей без их согласия нарушает законы о защите данных (например, GDPR). Это может привести к утечкам данных или юридическим действиям против организации. Организации должны обеспечить наличие четких механизмов получения согласия и прозрачности в практиках сбора данных."
74,"Использование уязвимостей в мобильных приложениях","Mobile applications with vulnerabilities can be exploited by attackers to gain access to user data, manipulate it, or install malware. This includes vulnerabilities such as improper encryption and weak passwords. Regular security assessments and updates are crucial to safeguard mobile applications.","Мобильные приложения с уязвимостями могут быть использованы злоумышленниками для получения доступа к данным пользователей, их манипуляции или установки вредоносного ПО. Это включает в себя уязвимости, такие как неправильное шифрование и слабые пароли. Регулярные оценки безопасности и обновления имеют важное значение для защиты мобильных приложений."
75,"Атаки через социальные инженерии (телефонные звонки, SMS)","Social engineering attacks through phone calls or SMS involve deceiving users to gain access to their confidential information, such as passwords, banking details, and personal data. Education and awareness training for users are vital in preventing these types of attacks.","Атаки социальной инженерии через телефонные звонки или SMS включают в себя обман пользователей для получения доступа к их конфиденциальной информации, такой как пароли, банковские данные и личные данные. Образование и обучение пользователей имеют решающее значение для предотвращения этих типов атак."
76,"Нарушение интеллектуальной собственности","Intellectual property infringement occurs when companies or individuals unlawfully use, copy, or distribute someone else's copyrights, patents, or trade secrets. This can lead to data leaks or loss of competitive advantage. Organizations should have strict policies and monitoring in place to protect their intellectual property.","Нарушение интеллектуальной собственности происходит, когда компании или отдельные лица незаконно используют, копируют или распространяют чужие авторские права, патенты или коммерческие тайны. Это может привести к утечкам данных или потере конкурентных преимуществ. Организации должны иметь строгие политики и системы мониторинга для защиты своей интеллектуальной собственности."
77,"Отсутствие контрольных механизмов за активностью на рабочих местах","The lack of monitoring mechanisms for employee activity in the workplace can lead to data leaks, information theft, or other threats related to insider risks and unauthorized access. Implementing monitoring and logging systems can help detect and prevent malicious activities.","Отсутствие механизмов мониторинга активности сотрудников на рабочих местах может привести к утечкам данных, краже информации или другим угрозам, связанным с внутренними рисками и несанкционированным доступом. Внедрение систем мониторинга и ведения журналов может помочь обнаруживать и предотвращать злонамеренные действия."
78,"Утечка информации через службы поддержки пользователей","Support staff with access to users' personal information may accidentally or intentionally disclose confidential information to attackers, resulting in data leaks. Proper training and strict access controls are essential to mitigate this risk.","Сотрудники службы поддержки, имеющие доступ к личной информации пользователей, могут случайно или намеренно раскрыть конфиденциальную информацию злоумышленникам, что приведет к утечкам данных. Надлежащее обучение и строгий контроль доступа имеют важное значение для снижения этого риска."
79,"Ошибка в конфиденциальности при обмене информацией с партнёрами","When sharing confidential information with external partners, errors related to insufficient data protection may arise. This can include transmitting data over unencrypted channels or misconfigured access rights. Establishing secure communication protocols and clear guidelines for data sharing is crucial.","При обмене конфиденциальной информацией с внешними партнерами могут возникать ошибки, связанные с недостаточной защитой данных. Это может включать в себя передачу данных по незашифрованным каналам или неправильную настройку прав доступа. Установление безопасных протоколов связи и четких руководящих принципов для обмена данными имеет важное значение."
80,"Превышение полномочий в облачных сервисах","Employees or contractors with access to cloud services may exceed their privileges, leading to data leaks or destruction, as well as unauthorized access to critical business resources. Implementing role-based access controls and regular audits can help prevent privilege escalation.","Сотрудники или подрядчики с доступом к облачным сервисам могут превышать свои полномочия, что может привести к утечкам или уничтожению данных, а также к несанкционированному доступу к критически важным бизнес-ресурсам. Внедрение управления доступом на основе ролей и регулярные аудиты могут помочь предотвратить эскалацию привилегий."
81,"Невозможность обнаружения и остановки инцидентов в реальном времени","The lack of a monitoring system capable of detecting incidents in real-time can lead to prolonged response times to security incidents and increased damage from attacks. Implementing effective monitoring solutions is critical for timely detection and mitigation of security threats.","Отсутствие системы мониторинга, способной обнаруживать инциденты в реальном времени, может привести к увеличению времени реакции на инциденты безопасности и увеличению ущерба от атак. Внедрение эффективных решений для мониторинга критически важно для своевременного обнаружения и смягчения угроз безопасности."
82,"Ненадежная защита данных в транзите","Data transmitted over unprotected communication channels (e.g., using HTTP instead of HTTPS) can be intercepted or altered by attackers, leading to data leaks or modifications. It is essential to use secure protocols to protect data in transit and ensure its integrity.","Данные, передаваемые по незащищенным каналам связи (например, с использованием HTTP вместо HTTPS), могут быть перехвачены или изменены злоумышленниками, что приводит к утечкам или модификации данных. Обязательно использование безопасных протоколов для защиты данных в пути и обеспечения их целостности."
83,"Использование пиратских или несанкционированных копий ПО","Using pirated or unlicensed software can lead to the introduction of malware or exploitation of vulnerabilities that are absent in official versions. This also violates copyright laws and can result in legal consequences. Organizations should enforce strict software licensing policies.","Использование пиратского или нелицензионного программного обеспечения может привести к внедрению вредоносного ПО или использованию уязвимостей, отсутствующих в официальных версиях. Это также нарушает авторские права и может привести к юридическим последствиям. Организации должны применять строгие политики лицензирования программного обеспечения."
84,"Превышение доступа к данным через сторонние устройства","Using personal devices (e.g., personal laptops or USB drives) to access corporate data without proper controls and protection can lead to information leaks or malware infections. Establishing a clear BYOD policy and security measures is crucial for protecting sensitive information.","Использование личных устройств (например, личных ноутбуков или USB-накопителей) для доступа к корпоративным данным без должного контроля и защиты может привести к утечкам информации или заражению вредоносным ПО. Установление четкой политики BYOD и мер безопасности имеет важное значение для защиты конфиденциальной информации."
85,"Проблемы с прозрачностью и отчетностью по вопросам безопасности","The lack of transparency in security matters and ineffective reporting can lead to unnoticed threats and the absence of timely protective measures, increasing risks for the organization. Regular security assessments and clear communication channels are essential.","Отсутствие прозрачности в вопросах безопасности и неэффективная отчетность могут привести к незамеченным угрозам и отсутствию своевременных защитных мер, увеличивая риски для организации. Регулярные оценки безопасности и четкие каналы связи необходимы."
86,"Необоснованное развертывание служб или сервисов без анализа рисков","Deploying new services or applications without prior risk analysis can introduce vulnerable solutions that attackers may exploit for attacks, including data breaches or system infections. Organizations should conduct thorough risk assessments before implementation.","Развертывание новых служб или приложений без предварительного анализа рисков может привести к внедрению уязвимых решений, которые злоумышленники могут использовать для атак, включая утечки данных или заражение систем. Организации должны проводить тщательные оценки рисков перед реализацией."
87,"Использование плохих практик при реализации безопасности приложений","Poor security practices, such as insufficient input validation or the use of weak encryption algorithms, can lead to vulnerabilities that attackers can exploit to compromise applications. Adhering to secure coding standards and best practices is essential.","Плохие практики безопасности, такие как недостаточная проверка ввода или использование слабых алгоритмов шифрования, могут привести к уязвимостям, которые злоумышленники могут использовать для компрометации приложений. Соблюдение стандартов безопасного кодирования и лучших практик имеет важное значение."
88,"Отсутствие контроля за мобильными устройствами сотрудников (BYOD)","When employees use personal devices (BYOD — Bring Your Own Device) for work, security issues may arise if these devices are not properly secured or have access to corporate data. Implementing management policies and security measures for BYOD is crucial.","Когда сотрудники используют личные устройства (BYOD — Принеси своё устройство) для работы, могут возникнуть проблемы с безопасностью, если эти устройства не защищены должным образом или имеют доступ к корпоративным данным. Внедрение управленческих политик и мер безопасности для BYOD имеет важное значение."
89,"Неэффективное управление жизненным циклом данных","Ineffective data management, including its creation, storage, and deletion, can lead to data leaks or compromise if data is stored without proper controls or encryption. Organizations should establish data lifecycle management practices to mitigate these risks.","Неэффективное управление данными, включая их создание, хранение и удаление, может привести к утечкам данных или компрометации, если данные хранятся без должного контроля или шифрования. Организации должны установить практики управления жизненным циклом данных для снижения этих рисков."
90,"Злоупотребление корпоративными ресурсами сотрудниками","Employee misuse of corporate resources, such as work computers, networks, or access to data, can lead to the leakage of confidential information or unauthorized access to systems. Organizations should enforce acceptable use policies and monitor resource usage.","Злоупотребление сотрудниками корпоративными ресурсами, такими как рабочие компьютеры, сети или доступ к данным, может привести к утечке конфиденциальной информации или несанкционированному доступу к системам. Организации должны применять политики допустимого использования и контролировать использование ресурсов."
91,"Отсутствие мониторинга системы безопасности в реальном времени","The lack of real-time monitoring can lead to undetected incidents, such as network attacks or data breaches, delaying the response to threats and increasing potential losses. Implementing a robust monitoring system is essential for timely threat detection and incident response.","Отсутствие мониторинга в реальном времени может привести к незамеченным инцидентам, таким как сетевые атаки или утечки данных, что задерживает реакцию на угрозы и увеличивает потенциальные убытки. Внедрение надежной системы мониторинга имеет решающее значение для своевременного обнаружения угроз и реагирования на инциденты."
92,"Неэффективное реагирование на угрозы через внешний периметр","If an organization cannot effectively respond to threats coming through the external perimeter (e.g., via the internet or external networks), it can lead to intruders penetrating the network and data leaks. Strengthening perimeter defenses and response capabilities is crucial.","Если организация не может эффективно реагировать на угрозы, поступающие через внешний периметр (например, через интернет или внешние сети), это может привести к проникновению злоумышленников в сеть и утечкам данных. Укрепление периметральной защиты и возможностей реагирования имеет решающее значение."
93,"Недостаточные меры для защиты персональных данных","Insufficient measures to protect personal data (e.g., encryption, anonymization) can lead to the leakage of user information, resulting in legal consequences and loss of customer trust. Organizations must implement stringent data protection measures to safeguard personal information.","Недостаточные меры по защите персональных данных (например, шифрование, анонимизация) могут привести к утечке информации пользователей, что влечет за собой юридические последствия и потерю доверия клиентов. Организации должны внедрять строгие меры защиты данных для обеспечения безопасности личной информации."
94,"Скачивание неавторизованных приложений, установленных на устройствах","Downloading and installing unauthorized applications (e.g., from third-party app stores) can lead to devices being infected with malware, compromising data security and integrity. Enforcing policies against unauthorized software is vital for protecting organizational assets.","Скачивание и установка неавторизованных приложений (например, из сторонних магазинов приложений) может привести к заражению устройств вредоносным ПО, что ставит под угрозу безопасность и целостность данных. Принятие мер против несанкционированного программного обеспечения имеет важное значение для защиты активов организации."
95,"Использование поддельных и фальшивых электронных документов","The use of counterfeit electronic documents, such as contracts or invoices, can be exploited for fraud and bypass security control systems, leading to financial losses and data breaches. Organizations should implement measures to verify the authenticity of electronic documents.","Использование поддельных электронных документов, таких как контракты или счета-фактуры, может быть использовано для мошенничества и обхода систем контроля безопасности, что приводит к финансовым потерям и утечкам данных. Организации должны внедрять меры для проверки подлинности электронных документов."
96,"Использование старых и незащищённых протоколов связи","Using outdated and unprotected communication protocols, such as FTP or HTTP, can result in data interception or manipulation, as these protocols do not provide adequate security. Organizations should upgrade to secure protocols, like SFTP or HTTPS, to protect data in transit.","Использование устаревших и незащищенных протоколов связи, таких как FTP или HTTP, может привести к перехвату или манипуляциям с данными, так как эти протоколы не обеспечивают адекватной безопасности. Организации должны перейти на безопасные протоколы, такие как SFTP или HTTPS, для защиты данных в пути."
97,"Превышение прав доступа к корпоративной сети или серверу","Privilege escalation occurs when employees or attackers gain access to data or systems they should not have access to. This can lead to data leaks or the destruction of critical systems. Enforcing strict access controls and regular audits can help mitigate these risks.","Эскалация привилегий происходит, когда сотрудники или злоумышленники получают доступ к данным или системам, к которым им не следует иметь доступ. Это может привести к утечкам данных или уничтожению критически важных систем. Применение строгих контрольных мер доступа и регулярные аудиты могут помочь смягчить эти риски."
98,"Нарушение принципа минимальных привилегий","Violation of the principle of least privilege occurs when users or systems are granted more access rights than necessary to perform their tasks, increasing the risk of abuse and data leaks. Implementing role-based access controls is essential to enforce this principle.","Нарушение принципа минимальных привилегий происходит, когда пользователям или системам предоставляются более широкие права доступа, чем необходимо для выполнения их задач, что увеличивает риск злоупотреблений и утечек данных. Внедрение ролевых механизмов контроля доступа имеет важное значение для соблюдения этого принципа."
99,"Неиспользование механизма уведомлений и блокировок при угрозах","The absence of notifications and blocking mechanisms during security threats means incidents can go unnoticed, making the system vulnerable to attacks such as account hacks or data breaches. Organizations should implement alert systems to respond quickly to potential threats.","Отсутствие механизмов уведомлений и блокировок при угрозах безопасности означает, что инциденты могут оставаться незамеченными, что делает систему уязвимой для атак, таких как взлом аккаунтов или утечки данных. Организации должны внедрять системы оповещения для быстрого реагирования на потенциальные угрозы."
100,"Отсутствие контрольных систем для защиты информации на этапе разработки ПО","The lack of security control systems during software development (e.g., absence of vulnerability testing) can result in vulnerabilities being built into the product, making it susceptible to attacks post-release. Incorporating security testing and best practices in the development lifecycle is crucial.","Отсутствие систем контроля безопасности на этапе разработки ПО (например, отсутствие тестирования на уязвимости) может привести к внедрению уязвимостей в продукт, делая его уязвимым для атак после выпуска. Включение тестирования безопасности и лучших практик в жизненный цикл разработки имеет решающее значение."