id,name,obnarushenie
1,"Фишинг (email, SMS, социальные сети)","Использование системы фильтрации электронной почты и анализа URL для обнаружения фишинговых сообщений. Внедрение системы для анализа поведения пользователей и выявления подозрительных действий."
2,"Атаки с использованием вредоносных программ (вирусы, трояны, шифровальщики)","Использование антивирусных решений и систем для мониторинга активности вредоносных программ. Скрининг подозрительных файлов с помощью песочницы."
3,"DDoS-атаки (распределённые атаки на отказ в обслуживании)","Использование систем защиты от DDoS-атак, таких как WAF (Web Application Firewall) или фильтрация трафика. Мониторинг роста трафика и анализа для выявления аномальных пиков."
4,"SQL-инъекции","Использование средств анализа уязвимостей, таких как SQLmap, для автоматического выявления SQL-инъекций в веб-приложениях. Мониторинг логов серверов на наличие аномальных запросов."
5,"XSS (Cross-site Scripting)","Использование средств анализа безопасности приложений для обнаружения уязвимостей XSS, мониторинг логов для выявления подозрительных скриптов."
6,"Man-in-the-Middle атаки","Использование систем мониторинга трафика для обнаружения подмены данных или перехвата сессий. Применение шифрования TLS/SSL для защиты данных в транзите."
7,"Атаки с использованием уязвимостей нулевых дней","Использование средств для мониторинга уязвимостей в реальном времени. Постоянное обновление и патчинг системы, использование анти-эксплойт решений."
8,"Сниффинг (перехват сетевого трафика)","Мониторинг и шифрование всех каналов передачи данных. Использование систем IDS/IPS для обнаружения аномального трафика."
9,"Потери данных (из-за сбоев, удаления или повреждения данных)","Регулярные резервные копии и тестирование восстановления данных. Внедрение систем мониторинга целостности данных и журналирования."
10,"Атаки через беспроводные сети (WIFI, Bluetooth)","Использование системы для обнаружения и защиты от атак на беспроводные сети. Мониторинг беспроводного трафика на наличие необычных подключений или атак."
11,"Кража и утечка данных с мобильных устройств","Использование MDM-систем для управления мобильными устройствами. Регулярное сканирование на наличие утечек данных и установленных вредоносных приложений."
12,"Мошенничество с использованием фальшивых сайтов","Использование антифишинговых решений и мониторинг за фальшивыми веб-сайтами через инструменты фильтрации трафика и антивирусы."
13,"Использование слабых паролей и их утечка","Использование системы для проверки паролей на уязвимости и сложность. Реализация политики регулярной смены паролей и мониторинг попыток подбора паролей."
14,"Неавторизованный доступ к данным","Регулярный аудит прав доступа и мониторинг всех попыток входа в системы. Внедрение многофакторной аутентификации и систем предупреждения при несанкционированных действиях."
15,"Недостаточная защита доступа к облачным хранилищам","Использование защиты с многофакторной аутентификацией для облачных сервисов. Мониторинг активности в облаке для выявления подозрительных действий."
16,"Невозможность восстановления данных после инцидента","Регулярное тестирование систем восстановления данных и проверка актуальности резервных копий. Мониторинг успешных/неуспешных попыток восстановления."
17,"Нарушение конфиденциальности через хищение личных данных","Использование системы DLP для мониторинга и предотвращения утечек личных данных. Анализ всех каналов передачи данных на утечку конфиденциальной информации."
18,"Уязвимости в сторонних приложениях и сервисах","Регулярное сканирование сторонних приложений на наличие уязвимостей и патчей. Мониторинг и аудит сторонних сервисов и их обновлений."
19,"Инсайдерские угрозы (недобросовестные сотрудники)","Использование мониторинга действий пользователей и аудита прав доступа для выявления аномальных действий. Внедрение системы уведомлений о подозрительных операциях сотрудников."
20,"Отсутствие шифрования данных на устройстве","Использование системы управления мобильными устройствами (MDM) для контроля шифрования данных на устройствах. Проверка всех устройств на соответствие стандартам безопасности."
21,"Необоснованное разглашение конфиденциальной информации","Обучение сотрудников политике конфиденциальности и мониторинг утечек данных через систему DLP. Внедрение правил и механизмов для отслеживания рассылок."
22,"Мошенничество через социальные сети (Social Engineering)","Использование фильтрации сообщений и мониторинга активности в социальных сетях на наличие подозрительных действий. Обучение сотрудников методам защиты от социальной инженерии."
23,"Брутфорс-атаки на пароли","Использование системы мониторинга для обнаружения множественных неудачных попыток входа. Реализация блокировки учётных записей после нескольких неудачных попыток и внедрение многофакторной аутентификации."
24,"Нарушение политики безопасности сотрудниками","Использование систем мониторинга активности пользователей для выявления нарушений. Автоматические уведомления при изменении политики безопасности или неправильных действиях сотрудников."
25,"Ненадлежащая настройка и администрирование серверов","Регулярные аудиты конфигурации серверов и их проверка на соответствие стандартам безопасности. Мониторинг всех изменений в настройках серверов."
26,"Невозможность удаления данных с устаревших устройств","Использование системы для безопасного удаления данных с устаревших устройств. Регулярные проверки устаревших устройств на наличие данных, подлежащих удалению."
27,"Неконтролируемый доступ через приложения сторонних разработчиков","Внедрение системы контроля и мониторинга всех сторонних приложений, их доступа и использования корпоративных данных. Аудит приложений и разрешений."
28,"Разглашение данных через внешние каналы связи","Использование системы для мониторинга и блокировки утечек данных через внешние каналы связи, такие как электронная почта, FTP или облачные сервисы."
29,"Использование несанкционированного ПО","Аудит и мониторинг всех установленных программ на устройствах. Использование системы для контроля за установкой программного обеспечения и блокировки несанкционированных приложений."
30,"Необновляемые системы и программное обеспечение","Использование систем для автоматического обновления программного обеспечения и мониторинг на наличие уязвимостей, которые могут быть использованы в атаках."
31,"Отсутствие защиты данных в процессе передачи (незашифрованные каналы)","Использование систем для обеспечения шифрования всех каналов передачи данных, включая SSL/TLS и VPN-соединения. Мониторинг за передачей данных для выявления незащищённых каналов."
32,"Утечка данных через физические носители (USB, диски)","Использование системы DLP для отслеживания передачи данных на физические носители, такие как USB-накопители. Ограничение и контроль на подключение внешних устройств."
33,"Неадекватное уничтожение бумажных носителей информации","Обучение сотрудников политике уничтожения бумажных носителей и использование специальных сервисов для уничтожения документов. Регулярные проверки на соответствие стандартам уничтожения."
34,"Перехват и фальсификация трафика через интернет-платформы","Использование систем IDS/IPS для мониторинга перехвата данных и аномального трафика. Применение безопасных протоколов связи, таких как HTTPS, для защиты данных."
35,"Сетевые атаки через удалённый доступ (VPN, RDP)","Мониторинг всех соединений через удалённый доступ с анализом аномалий в трафике и попыток несанкционированного доступа. Использование многофакторной аутентификации для удалённых соединений."
36,"Злоупотребление правами доступа (privilege escalation)","Использование систем для мониторинга привилегий пользователей и обнаружения несанкционированных изменений в правах доступа. Внедрение механизмов для ограничения и контроля прав пользователей."
37,"Недостаточная защита административных и суперпользовательских учетных записей","Использование многофакторной аутентификации и мониторинга действий административных учётных записей. Аудит всех суперпользовательских прав и действий."
38,"Использование старых версий ПО и протоколов","Постоянное сканирование системы на наличие устаревших версий программного обеспечения и протоколов. Обновление и патчинг уязвимых версий."
39,"Ошибки в управлении доступом к ресурсам","Аудит и мониторинг прав доступа к критическим ресурсам, а также регулярное обновление и проверка прав доступа сотрудников."
40,"Проблемы с защитой и мониторингом облачных сервисов","Использование средств мониторинга активности и защищённости облачных сервисов. Регулярные проверки на наличие уязвимостей и несанкционированных доступов."
41,"Отсутствие многофакторной аутентификации","Использование систем мониторинга аутентификаций для выявления использования только одного метода подтверждения личности. Внедрение многофакторной аутентификации для всех пользователей с доступом к критическим системам."
42,"Злоупотребление системами аутентификации пользователей","Использование решений для анализа поведения пользователей с целью выявления аномальных попыток аутентификации и входа. Внедрение механизмов блокировки учётных записей после нескольких неудачных попыток входа."
43,"Использование уязвимых библиотек и фреймворков","Использование системы для сканирования кода и зависимостей на наличие уязвимостей в библиотеках. Регулярные обновления и патчинг уязвимых компонентов."
44,"Неадекватное ведение журналов и логов безопасности","Использование системы централизованного хранения логов и их анализа для выявления необычных или подозрительных событий. Настройка уведомлений для аномальных действий в журналах безопасности."
45,"Отсутствие тестирования безопасности программного обеспечения","Проведение регулярных автоматических и ручных тестов безопасности на всех этапах разработки. Применение статического и динамического анализа кода."
46,"Неэффективное удаление или очистка логов","Внедрение политики регулярного очищения и архивирования логов с целью сохранения только необходимых данных. Использование решений для защиты и управления журналами безопасности."
47,"Утечка информации через несовершенные веб-сервисы","Использование системы сканирования уязвимостей веб-приложений для поиска проблем с конфиденциальностью. Мониторинг всех веб-сервисов и API для проверки их безопасности."
48,"Вредоносные обновления ПО (включая драйверы и ОС)","Использование решения для проверки целостности и подлинности обновлений. Мониторинг происхождения и подписей обновлений на всех устройствах."
49,"Проблемы с настройкой межсетевых экранов","Аудит конфигурации межсетевых экранов и систем IDS/IPS на соответствие требованиям безопасности. Регулярное тестирование защиты сетевого периметра."
50,"Отсутствие политики защиты от утечек данных (DLP)","Внедрение и настройка системы защиты данных (DLP) для мониторинга и предотвращения утечек данных через каналы передачи, как внутренние, так и внешние."
51,"Ненадёжная защита данных при взаимодействии с внешними подрядчиками","Контроль доступа к данным через системы мониторинга и DLP. Проверка и аудит всех сторонних подрядчиков на соблюдение политики безопасности."
52,"Необоснованный доступ подрядчиков к критичным системам","Мониторинг доступа подрядчиков и системы для временного ограничения их прав. Аудит всех внешних пользователей и их прав доступа."
53,"Использование несоответствующих стандартам систем и решений","Проведение аудита всех систем на соответствие международным и отраслевым стандартам безопасности. Регулярная проверка уязвимостей и несоответствий в настройках."
54,"Проблемы с контролем доступа к API","Использование системы управления API для отслеживания и контроля за доступом к интерфейсам и запросам. Применение API-шлюзов и аутентификаций, таких как OAuth, для защиты от несанкционированного доступа."
55,"Подделка или манипуляция данными на сервере","Использование инструментов для контроля целостности данных на сервере. Внедрение решений для мониторинга изменений в базе данных и данных на сервере."
56,"Отсутствие или слабая защита в виртуализированных средах","Регулярное сканирование и аудит виртуализированных сред на уязвимости и несоответствия. Внедрение строгих мер контроля доступа и защиты гипервизоров."
57,"Утечка данных через ошибочно настроенные сетевые устройства","Использование средств для мониторинга всех подключенных устройств и выявления ошибок конфигурации. Проверка настроек сетевых устройств на соответствие безопасности."
58,"Неадекватное шифрование конфиденциальных данных","Проведение аудита использования слабых или устаревших методов шифрования. Внедрение более строгих стандартов шифрования для защиты данных в хранилищах и в процессе передачи."
59,"Нарушение целостности данных через ошибочные системы резервного копирования","Использование решения для мониторинга целостности резервных копий и выявления ошибок в процессе копирования. Регулярное тестирование и проверка восстановления данных."
60,"Отсутствие защиты на уровне BIOS/UEFI","Регулярный аудит настроек BIOS/UEFI на всех устройствах, использование паролей и шифрования для защиты от несанкционированного доступа на уровне железа."
61,"Проблемы с физическим доступом в серверные комнаты","Использование системы контроля доступа в серверные комнаты, включая видеонаблюдение, биометрическую аутентификацию и ключи доступа. Регулярные проверки физической безопасности."
62,"Невозможность восстановить данные из резервных копий","Регулярное тестирование системы резервного копирования и восстановления данных. Аудит резервных копий для проверки на соответствие стандартам хранения и восстановления."
63,"Физическая кража устройств с конфиденциальной информацией","Использование шифрования данных на устройствах и системы для мониторинга их местоположения. Внедрение системы уведомлений при подозрительном использовании устройства."
64,"Нарушение политики безопасности на уровне поставщиков оборудования","Проведение регулярных аудитов поставщиков оборудования и контроля их соответствия внутренним требованиям безопасности. Мониторинг всех поставок на предмет соблюдения стандартов безопасности."
65,"Использование ненадежных сертификатов и протоколов SSL/TLS","Регулярное сканирование и мониторинг всех сертификатов SSL/TLS на актуальность и соответствие безопасности. Внедрение политики строгого контроля сертификатов и криптографических протоколов."
66,"Подделка или утечка сертификатов безопасности","Использование системы мониторинга сертификатов и их подписей для выявления подделок или утечек. Внедрение систем уведомлений о новых или подозрительных сертификатах."
67,"Атаки на систему связи через VoIP","Использование системы защиты VoIP-сетей, таких как шифрование трафика и мониторинг за звонками на предмет несанкционированного доступа. Контроль за доступом и настройками безопасности."
68,"Мошенничество с использованием телефонных звонков","Использование решений для мониторинга и фильтрации входящих звонков. Обучение сотрудников методам защиты от социальной инженерии через телефон."
69,"Атаки через приложения и устройства интернета вещей (IoT)","Использование систем мониторинга IoT-устройств для отслеживания подозрительных действий и уязвимостей. Постоянная проверка на наличие известных уязвимостей в устройствах."
70,"Нарушение защиты данных через неправильное управление базами данных","Использование системы мониторинга и контроля доступа к базам данных. Регулярное сканирование баз данных на уязвимости и неправильные настройки безопасности."
71,"Вредоносное использование данных через публичные компьютеры","Использование решений для блокировки доступа к конфиденциальным данным через публичные или небезопасные устройства. Регулярное обновление и проверка безопасности публичных терминалов."
72,"Несоответствие системы безопасности международным стандартам","Регулярные проверки на соответствие международным стандартам безопасности, таким как ISO 27001, GDPR, PCI DSS. Использование сертифицированных решений для управления безопасностью."
73,"Сбор и распространение данных без согласия пользователя","Внедрение системы для мониторинга всех операций с личными данными пользователей и их согласий. Проведение регулярных аудитов на соответствие стандартам защиты данных."
74,"Использование уязвимостей в мобильных приложениях","Использование средств анализа мобильных приложений на наличие уязвимостей. Мониторинг активности приложений для выявления аномалий или попыток эксплуатации уязвимостей."
75,"Атаки через социальные инженерии (телефонные звонки, SMS)","Обучение сотрудников методам защиты от социальной инженерии. Использование систем фильтрации и анализа сообщений для выявления фальшивых звонков и сообщений."
76,"Нарушение интеллектуальной собственности","Использование системы мониторинга и защиты интеллектуальной собственности, включая программы защиты авторских прав. Регулярный аудит документов и данных на наличие несанкционированных изменений."
77,"Отсутствие контрольных механизмов за активностью на рабочих местах","Внедрение систем для мониторинга действий сотрудников на рабочих местах, включая видео и логирование действий на устройствах. Применение системы уведомлений о подозрительных активностях."
78,"Утечка информации через службы поддержки пользователей","Обучение сотрудников службы поддержки по вопросам конфиденциальности и защиты данных. Мониторинг всех запросов и действий через систему управления тикетами."
79,"Ошибка в конфиденциальности при обмене информацией с партнёрами","Использование системы защиты данных и мониторинга при обмене информацией с партнёрами. Регулярное тестирование безопасности обмена данными."
80,"Превышение полномочий в облачных сервисах","Мониторинг всех действий в облачных сервисах на предмет использования повышенных привилегий. Использование решения для аудита и контроля прав доступа."
81,"Невозможность обнаружения и остановки инцидентов в реальном времени","Использование системы мониторинга безопасности с возможностью анализа и уведомления о подозрительных действиях в реальном времени. Настройка и автоматизация реагирования на инциденты."
82,"Ненадежная защита данных в транзите","Использование шифрования (например, TLS/SSL) для защиты всех данных, передаваемых через сеть. Внедрение решения для мониторинга трафика на предмет утечек или незащищённых каналов."
83,"Использование пиратских или несанкционированных копий ПО","Использование системы управления лицензиями и мониторинга программного обеспечения для выявления нелегальных копий. Регулярные проверки на наличие несанкционированных приложений."
84,"Превышение доступа к данным через сторонние устройства","Использование системы контроля доступа к корпоративным данным через внешние устройства. Настройка системы уведомлений при подключении несанкционированных устройств."
85,"Проблемы с прозрачностью и отчетностью по вопросам безопасности","Использование системы для ведения централизованных отчетов и журналов безопасности, а также системы для автоматического аудита безопасности и соблюдения политики."
86,"Необоснованное развертывание служб или сервисов без анализа рисков","Использование процесса управления рисками для оценки воздействия всех новых сервисов или служб. Внедрение системы для анализа рисков и проверок при развертывании новых технологий."
87,"Использование плохих практик при реализации безопасности приложений","Внедрение тестирования безопасности на каждом этапе разработки приложений. Использование инструментов для анализа кода и уязвимостей в приложениях."
88,"Отсутствие контроля за мобильными устройствами сотрудников (BYOD)","Использование решения для управления мобильными устройствами (MDM) для контроля всех устройств сотрудников. Настройка политики безопасности для защиты мобильных устройств и их данных."
89,"Неэффективное управление жизненным циклом данных","Использование решения для управления данными в организации, включая защиту, архивирование и удаление устаревших данных. Применение системы контроля за хранением данных и их жизненным циклом."
90,"Злоупотребление корпоративными ресурсами сотрудниками","Использование системы мониторинга действий сотрудников с доступом к корпоративным ресурсам. Регулярные проверки на предмет злоупотреблений и несанкционированных действий."
91,"Отсутствие мониторинга системы безопасности в реальном времени","Использование централизованной системы мониторинга и анализа событий безопасности (SIEM) для обнаружения и реагирования на инциденты в реальном времени."
92,"Неэффективное реагирование на угрозы через внешний периметр","Использование системы IDS/IPS для мониторинга и защиты внешнего периметра сети. Регулярная настройка и обновление систем защиты для эффективного реагирования на угрозы."
93,"Недостаточные меры для защиты персональных данных","Использование системы шифрования для защиты персональных данных, а также регулярные проверки на соответствие требованиям законодательства по защите данных, таким как GDPR."
94,"Скачивание неавторизованных приложений, установленных на устройствах","Использование системы управления мобильными устройствами (MDM) для контроля установки приложений на устройствах. Регулярные проверки на наличие неавторизованных приложений."
95,"Использование поддельных и фальшивых электронных документов","Использование решения для проверки подлинности электронных документов и их подписей. Мониторинг за документами и уведомление при обнаружении фальшивых файлов."
96,"Использование старых и незащищённых протоколов связи","Использование системы для мониторинга и анализа сетевого трафика, чтобы обнаружить использование устаревших или небезопасных протоколов связи. Переход на более безопасные протоколы (например, TLS вместо SSL)."
97,"Превышение прав доступа к корпоративной сети или серверу","Использование системы для мониторинга прав доступа и выявления аномальных попыток доступа к сети или серверам. Регулярное обновление и проверка прав доступа пользователей."
98,"Нарушение принципа минимальных привилегий","Использование системы контроля за правами доступа и мониторинга на предмет ненадлежащих или избыточных привилегий. Регулярный аудит и применение принципа минимальных привилегий."
99,"Неиспользование механизма уведомлений и блокировок при угрозах","Использование системы для автоматического уведомления при выявлении угроз или аномалий в работе системы безопасности. Настройка блокировок и изоляции инцидентов."
100,"Отсутствие контрольных систем для защиты информации на этапе разработки ПО","Внедрение системы контроля безопасности на всех этапах разработки программного обеспечения. Использование инструментов для автоматического сканирования кода и обеспечения его безопасности."