id,name,reagirovanie
1,"Фишинг (email, SMS, социальные сети)","Необходимо немедленно заблокировать все подозрительные электронные письма, SMS-сообщения или социальные сети. Оповестить всех пользователей о возможных атаках. Выполнить анализ адресов отправителей и ссылок, чтобы исключить фишинговые страницы. При необходимости — восстановить доступ к системам через безопасную аутентификацию."
2,"Атаки с использованием вредоносных программ (вирусы, трояны, шифровальщики)","Провести сканирование всех систем с использованием антивирусных и антишпионских программ. Заблокировать вредоносные процессы и восстановить поврежденные данные из резервных копий. Изолировать зараженные устройства и обновить антивирусные базы данных."
3,"DDoS-атаки (распределённые атаки на отказ в обслуживании)","Активировать защиту от DDoS-атак на уровне сетевого периметра (например, с помощью CDN или специализированных сервисов). Использовать механизмы фильтрации трафика и ограничить запросы с подозрительных IP-адресов. Скоординировать действия с провайдером для смягчения атаки."
4,"SQL-инъекции","Проверить все веб-приложения на наличие уязвимостей SQL-инъекций. Применить фильтрацию входных данных и использовать подготовленные SQL-запросы. Применить WAF (Web Application Firewall) для защиты от атак. Проверить журналы и провести анализ безопасности всех баз данных."
5,"XSS (Cross-site Scripting)","Проверить все веб-приложения на наличие уязвимостей XSS. Использовать фильтрацию и экранирование пользовательских данных, чтобы предотвратить выполнение вредоносных скриптов. Проводить регулярное тестирование на уязвимости с помощью средств безопасности."
6,"Man-in-the-Middle атаки","Обеспечить использование защищенных каналов связи (например, HTTPS, TLS). Прекратить использование уязвимых сетевых протоколов, таких как HTTP и FTP. Проверить настройки шифрования на всех уровнях передачи данных и обновить сертификаты безопасности."
7,"Атаки с использованием уязвимостей нулевых дней","Провести немедленное обновление всех систем и приложений до последних версий. Оповестить всех пользователей о возможных уязвимостях и предложить им установить актуальные патчи. Мониторить системы на предмет необычной активности и атак."
8,"Сниффинг (перехват сетевого трафика)","Проверить и укрепить настройки безопасности сетевого оборудования. Применить шифрование для всех данных, передаваемых через незащищенные сети. Прекратить использование незашифрованных протоколов для передачи данных."
9,"Потери данных (из-за сбоев, удаления или повреждения данных)","Активировать процедуры восстановления данных из резервных копий. Определить причину потери данных и провести анализ инцидента. Внедрить дополнительные механизмы защиты и регулярного бэкапа данных."
10,"Атаки через беспроводные сети (WIFI, Bluetooth)","Отключить уязвимые беспроводные сети и изменить пароли для сетевых устройств. Применить шифрование WPA2 для Wi-Fi и использовать Bluetooth с минимальными настройками безопасности. Провести аудит всех беспроводных устройств и их настроек."
11,"Кража и утечка данных с мобильных устройств","Активировать удаленное уничтожение данных на утерянных устройствах. Применить обязательное шифрование для всех мобильных устройств в компании. Информировать сотрудников о необходимости установки средств защиты и мониторинга на мобильных устройствах."
12,"Мошенничество с использованием фальшивых сайтов","Проверить все подозрительные сайты, проверить наличие SSL-сертификатов и адресов. Оповестить пользователей о возможном мошенничестве. Заблокировать фальшивые сайты на уровне DNS и провести аудит всех сетевых подключений."
13,"Использование слабых паролей и их утечка","Обновить все пароли на более сложные и уникальные. Включить многофакторную аутентификацию для всех пользователей. Провести аудит безопасности паролей на всех учетных записях и ограничить доступ к критическим системам."
14,"Неавторизованный доступ к данным","Немедленно заблокировать все несанкционированные доступы и провести расследование. Применить дополнительные средства контроля доступа, включая биометрические данные и одноразовые пароли. Пересмотреть права доступа сотрудников."
15,"Недостаточная защита доступа к облачным хранилищам","Обновить настройки безопасности облачных хранилищ, активировать шифрование и двухфакторную аутентификацию. Провести аудит всех доступов и исправить недостатки в защите облачных сервисов."
16,"Невозможность восстановления данных после инцидента","Проверить доступность резервных копий данных и процедуры восстановления. Внедрить дополнительные механизмы мониторинга состояния бэкап-систем. Обновить политику бэкапирования и обеспечить регулярное тестирование восстановления данных."
17,"Нарушение конфиденциальности через хищение личных данных","Проанализировать инцидент, определить источник утечки и усилить защиту персональных данных. Применить мониторинг на всех системах с личной информацией. Обеспечить обучение сотрудников безопасному обращению с личными данными."
18,"Уязвимости в сторонних приложениях и сервисах","Провести аудит всех сторонних приложений на наличие уязвимостей. Применить патчи и обновления, рекомендованные производителями программного обеспечения. Проводить регулярные проверки безопасности всех сторонних сервисов."
19,"Инсайдерские угрозы (недобросовестные сотрудники)","Ограничить доступ подозрительных сотрудников, проверить журналы активности. Внедрить системы мониторинга и аудита на рабочих местах. Применить политику безопасности с регулярными обучениями и санкциями за нарушения."
20,"Отсутствие шифрования данных на устройстве","Включить шифрование на всех устройствах сотрудников. Проводить регулярные проверки на наличие устройств, не защищенных шифрованием. Внедрить политики для обязательного шифрования данных на всех устройствах."
21,"Необоснованное разглашение конфиденциальной информации","Провести расследование инцидента и выяснить источники утечек. Внедрить ограничения на разглашение данных и регулярные тренинги для сотрудников. Обновить политику конфиденциальности и защиту информации."
22,"Мошенничество через социальные сети (Social Engineering)","Провести анализ инцидента, идентифицировать манипуляции и оповестить пользователей. Внедрить механизмы проверки подлинности сообщений через социальные сети. Обучить сотрудников способам распознавания социальной инженерии."
23,"Брутфорс-атаки на пароли","Активировать защиту от атак методом подбора паролей, например, с помощью ограничений по количеству попыток. Обновить пароли и включить многофакторную аутентификацию. Провести анализ логов и удостовериться в отсутствии других атак."
24,"Нарушение политики безопасности сотрудниками","Провести расследование инцидента, выявить виновных и применить дисциплинарные меры. Обновить политики безопасности и провести тренинги для сотрудников. Внедрить более строгие процедуры контроля доступа и мониторинга."
25,"Ненадлежащая настройка и администрирование серверов","Произвести немедленную проверку настроек серверов и устранить все уязвимости. Обновить конфигурации безопасности и провести аудит всех серверов на наличие уязвимостей. Обучить администраторов принципам безопасной настройки серверов."
26,"Невозможность удаления данных с устаревших устройств","Применить программы для безопасного удаления данных с устаревших устройств. Разработать политику замены оборудования с обязательным удалением всех данных. Убедиться в надежном уничтожении данных перед списанием устройства."
27,"Неконтролируемый доступ через приложения сторонних разработчиков","Провести аудит всех приложений, используемых сотрудниками, и ограничить доступ к критическим данным. Отключить сторонние приложения, не соответствующие требованиям безопасности. Внедрить политику контроля сторонних приложений."
28,"Разглашение данных через внешние каналы связи","Оповестить всех заинтересованных сторон об инциденте. Применить шифрование для всех внешних каналов связи, включая электронную почту и FTP-серверы. Пересмотреть процедуры обмена данными с внешними партнерами."
29,"Использование несанкционированного ПО","Блокировать все несанкционированные программы и приложения на устройствах. Провести проверку систем на наличие несанкционированного ПО и удалить все его экземпляры. Внедрить политику использования только лицензированного ПО."
30,"Необновляемые системы и программное обеспечение","Обновить все системы и программы до последних версий. Внедрить регулярные процессы для автоматического обновления программного обеспечения. Убедиться, что все критические уязвимости были закрыты."
31,"Отсутствие защиты данных в процессе передачи (незашифрованные каналы)","Перевести все каналы связи на защищенные протоколы (например, HTTPS, TLS). Применить дополнительные меры защиты при передаче конфиденциальной информации, включая шифрование на всех уровнях."
32,"Утечка данных через физические носители (USB, диски)","Применить шифрование для всех физических носителей данных. Внедрить политику контроля за использованием USB-устройств и других съемных носителей. Проводить регулярные проверки и тесты на утечку данных."
33,"Неадекватное уничтожение бумажных носителей информации","Установить обязательную процедуру уничтожения бумажных носителей с конфиденциальной информацией (например, с использованием шредеров). Проводить регулярные тренинги для сотрудников по безопасному обращению с бумагой."
34,"Перехват и фальсификация трафика через интернет-платформы","Активировать системы мониторинга трафика и обнаружения вторжений. Применить защиту на уровне приложений и серверов, используя HTTPS и шифрование. Обновить все сертификаты безопасности и пересмотреть настройки прокси-серверов и маршрутизаторов."
35,"Сетевые атаки через удалённый доступ (VPN, RDP)","Провести немедленную проверку всех удалённых подключений. Убедиться в наличии многофакторной аутентификации для VPN и RDP. Отключить неавторизованные подключения и обновить все пароли для администраторов."
36,"Злоупотребление правами доступа (privilege escalation)","Проверить журналы действий всех пользователей с правами администратора. Ограничить доступ к критическим системам и минимизировать привилегии. Провести аудит прав доступа и обеспечить их соответствие принципу наименьших привилегий."
37,"Недостаточная защита административных и суперпользовательских учетных записей","Обновить все пароли для учетных записей с административными правами. Включить многофакторную аутентификацию и журналы аудита для всех учетных записей с высоким уровнем доступа. Обновить политику безопасности для администраторов."
38,"Использование старых версий ПО и протоколов","Произвести немедленное обновление всех систем и приложений до последних версий. Прекратить использование устаревших и небезопасных протоколов. Внедрить систему мониторинга на наличие устаревших версий ПО в организации."
39,"Ошибки в управлении доступом к ресурсам","Провести аудит всех прав доступа в организации. Убедиться, что доступ предоставляется в соответствии с ролями и ответственностью сотрудников. Пересмотреть процессы управления учетными записями и доступом к критическим ресурсам."
40,"Проблемы с защитой и мониторингом облачных сервисов","Провести аудит всех облачных сервисов на предмет безопасности. Настроить системы мониторинга для отслеживания несанкционированного доступа. Применить шифрование данных в облаке и настроить политики безопасности для доступа к данным."
41,"Отсутствие многофакторной аутентификации","Внедрить многофакторную аутентификацию для всех пользователей, особенно для доступа к критичным системам. Оповестить сотрудников о необходимости включения этой функции на всех учетных записях. Проверить выполнение всех обязательных мер защиты."
42,"Злоупотребление системами аутентификации пользователей","Проверить журналы аутентификации и выявить возможные злоупотребления. Ограничить доступ к системам аутентификации и провести аудит политик безопасности. Установить более строгие меры для аутентификации и контроля доступа."
43,"Использование уязвимых библиотек и фреймворков","Провести аудит всех библиотек и фреймворков, используемых в приложениях. Обновить или заменить устаревшие и уязвимые компоненты. Внедрить процессы регулярного обновления библиотек и фреймворков в процессе разработки."
44,"Неадекватное ведение журналов и логов безопасности","Обновить политику ведения логов и журналов безопасности. Убедиться, что все системы записывают необходимые данные для расследования инцидентов. Настроить автоматические оповещения и анализ логов для выявления подозрительной активности."
45,"Отсутствие тестирования безопасности программного обеспечения","Регулярно проводить тестирование на уязвимости для всех приложений и систем. Внедрить практики безопасной разработки, включая регулярные проверки безопасности на всех этапах разработки. Применить тесты на проникновение и другие методы оценки безопасности."
46,"Неэффективное удаление или очистка логов","Пересмотреть политику хранения и удаления логов. Убедиться, что логи удаляются безопасным способом и в срок, установленный политикой безопасности. Внедрить систему для автоматического удаления и архивирования логов."
47,"Утечка информации через несовершенные веб-сервисы","Провести аудит всех внешних веб-сервисов, через которые могут утекать данные. Обновить или заменить сервисы, не соответствующие стандартам безопасности. Включить механизм шифрования для всех внешних взаимодействий."
48,"Вредоносные обновления ПО (включая драйверы и ОС)","Проверить все обновления на наличие вредоносного кода. Использовать проверенные каналы для получения обновлений и производить их только из официальных источников. Проводить регулярные проверки целостности программного обеспечения."
49,"Проблемы с настройкой межсетевых экранов","Провести аудит настроек межсетевых экранов и обновить правила фильтрации трафика. Убедиться в корректности настроек и соблюдении политики безопасности на всех уровнях. Активировать автоматические уведомления о подозрительной активности."
50,"Отсутствие политики защиты от утечек данных (DLP)","Внедрить систему предотвращения утечек данных (DLP) и настроить её для мониторинга и защиты данных. Обучить сотрудников использованию системы и информировать о важности соблюдения политики защиты данных."
51,"Ненадёжная защита данных при взаимодействии с внешними подрядчиками","Убедиться в наличии всех необходимых соглашений с подрядчиками по защите данных. Применить шифрование и механизмы защиты данных при передаче их третьим сторонам. Применить строгие политики для доступа внешних подрядчиков к данным."
52,"Необоснованный доступ подрядчиков к критичным системам","Проверить учетные записи и доступы подрядчиков к критическим системам. Ограничить доступ к системам, предоставив минимально необходимые привилегии. Регулярно пересматривать права доступа подрядчиков."
53,"Использование несоответствующих стандартам систем и решений","Провести аудит всех используемых систем и решений на соответствие международным стандартам безопасности. Применить обновления или заменить системы, не соответствующие требованиям. Внедрить стандарты безопасности на всех уровнях организации."
54,"Проблемы с контролем доступа к API","Пересмотреть и укрепить механизмы аутентификации и авторизации для всех API. Настроить контроль доступа с использованием API-ключей и токенов. Внедрить системы мониторинга для отслеживания попыток несанкционированного доступа к API."
55,"Подделка или манипуляция данными на сервере","Провести аудит целостности данных на сервере и обеспечить использование механизмов контроля версий и проверки целостности. Внедрить регулярные проверки для выявления манипуляций с данными. Установить систему оповещений о подозрительных изменениях данных."
56,"Отсутствие или слабая защита в виртуализированных средах","Провести оценку безопасности виртуализированных сред и применить дополнительные механизмы защиты. Убедиться в наличии всех необходимых обновлений безопасности для гипервизоров и виртуальных машин. Внедрить защиту на уровне сети и доступа."
57,"Утечка данных через ошибочно настроенные сетевые устройства","Провести аудит всех сетевых устройств на правильность настроек безопасности. Пересмотреть и усилить настройки безопасности, особенно для устройств с доступом к критичным данным. Внедрить систему мониторинга для обнаружения утечек через ошибочные настройки."
58,"Неадекватное шифрование конфиденциальных данных","Пересмотреть и усилить политику шифрования данных. Убедиться в использовании современных и надежных алгоритмов шифрования для всех конфиденциальных данных. Провести тестирование систем на уязвимости, связанные с шифрованием."
59,"Нарушение целостности данных через ошибочные системы резервного копирования","Провести аудит систем резервного копирования и проверку на целостность данных. Обновить механизмы резервного копирования и обеспечить регулярное тестирование восстановления данных. Внедрить проверки целостности данных при восстановлении."
60,"Отсутствие защиты на уровне BIOS/UEFI","Установить пароль на BIOS/UEFI для защиты от несанкционированного доступа. Включить функции защиты от загрузки с неавторизованных носителей. Обновить прошивку BIOS/UEFI до последних версий, обеспечивающих максимальную безопасность."
61,"Проблемы с физическим доступом в серверные комнаты","Обеспечить контроль доступа в серверные помещения с помощью систем видеонаблюдения, карт доступа и других механизмов. Провести регулярные проверки на соответствие стандартам безопасности. Обучить персонал мерам защиты от несанкционированного доступа."
62,"Невозможность восстановить данные из резервных копий","Провести тестирование всех резервных копий на возможность восстановления данных. Обновить процедуры восстановления данных и обеспечить наличие дополнительных копий. Внедрить регулярные проверки и мониторинг целостности данных в резервных копиях."
63,"Физическая кража устройств с конфиденциальной информацией","Провести расследование инцидента и выяснить, какие данные были украдены. Обновить все пароли и доступы, связанные с устройством. Применить меры для шифрования данных на всех мобильных устройствах и использовать системы для отслеживания украденных устройств."
64,"Нарушение политики безопасности на уровне поставщиков оборудования","Провести расследование инцидента с поставщиком оборудования. Оценить риски, связанные с текущими поставщиками, и обновить условия контрактов. Внедрить регулярные проверки и аудиты безопасности у поставщиков."
65,"Использование ненадежных сертификатов и протоколов SSL/TLS","Провести аудит всех используемых сертификатов и протоколов SSL/TLS на предмет их надежности. Заменить устаревшие или ненадежные сертификаты и протоколы на более безопасные версии. Убедиться в правильной настройке серверов для использования безопасных протоколов."
66,"Подделка или утечка сертификатов безопасности","Провести расследование инцидента, связанного с утечкой или подделкой сертификатов. Применить меры для отмены всех скомпрометированных сертификатов. Внедрить дополнительные системы мониторинга для раннего обнаружения подобных инцидентов."
67,"Атаки на систему связи через VoIP","Провести проверку системы VoIP на наличие уязвимостей. Обновить программное обеспечение и применить системы защиты от атак, таких как отказ в обслуживании (DoS) и подслушивание. Включить шифрование для всех голосовых вызовов."
68,"Мошенничество с использованием телефонных звонков","Провести расследование инцидента и проанализировать логи звонков. Уведомить сотрудников о рисках мошенничества и обучить их мерам защиты. Внедрить фильтрацию звонков и блокировку подозрительных номеров."
69,"Атаки через приложения и устройства интернета вещей (IoT)","Провести аудит всех IoT-устройств в сети и применить обновления безопасности. Ограничить доступ к критичным системам для IoT-устройств и установить системы мониторинга для их защиты. Применить шифрование для передаваемых данных."
70,"Нарушение защиты данных через неправильное управление базами данных","Провести аудит всех баз данных и применить меры для защиты данных, включая шифрование. Проверить настройки прав доступа и минимизировать их в соответствии с политиками безопасности. Внедрить систему мониторинга для отслеживания подозрительных действий с данными."
71,"Вредоносное использование данных через публичные компьютеры","Обучить сотрудников и пользователей о рисках использования публичных компьютеров для доступа к конфиденциальной информации. Внедрить систему защиты при использовании публичных устройств, включая виртуальные частные сети (VPN) и двухфакторную аутентификацию."
72,"Несоответствие системы безопасности международным стандартам","Провести аудит системы безопасности на соответствие международным стандартам (например, ISO 27001, NIST). Обновить процедуры и политику безопасности в соответствии с актуальными требованиями. Внедрить процесс сертификации и регулярных проверок соответствия."
73,"Сбор и распространение данных без согласия пользователя","Провести расследование инцидента и идентифицировать, какие данные были собраны без согласия. Обновить политику конфиденциальности и процедуры сбора данных, обеспечив их соответствие законодательству о защите персональных данных. Извлечь и удалить все незаконно собранные данные."
74,"Использование уязвимостей в мобильных приложениях","Произвести аудит всех мобильных приложений, установленных в организации, на наличие уязвимостей. Применить обновления безопасности и провести тестирование на проникновение. Обновить политику безопасности для использования мобильных приложений в компании."
75,"Атаки через социальные инженерии (телефонные звонки, SMS)","Обучить сотрудников методам распознавания атак социальной инженерии. Установить системы фильтрации и блокировки подозрительных звонков и сообщений. Внедрить многофакторную аутентификацию для доступа к важным системам."
76,"Нарушение интеллектуальной собственности","Провести расследование инцидента и выявить утечку интеллектуальной собственности. Обновить меры защиты на уровне технологий, включая шифрование и контроль доступа. Уведомить соответствующие органы и провести юридическую экспертизу."
77,"Отсутствие контрольных механизмов за активностью на рабочих местах","Внедрить системы мониторинга активности сотрудников на рабочих местах. Обеспечить соответствие политик безопасности, включая контроль за доступом к чувствительной информации и мониторинг действий пользователей. Обучить сотрудников безопасному поведению."
78,"Утечка информации через службы поддержки пользователей","Провести расследование инцидента и выявить источник утечки данных. Обновить процедуры обращения с клиентскими данными в службах поддержки. Внедрить системы контроля и мониторинга общения с клиентами, включая ограничение доступа к чувствительным данным."
79,"Ошибка в конфиденциальности при обмене информацией с партнёрами","Провести аудит всех обменов данными с партнерами и оценить их безопасность. Обновить соглашения с партнерами по защите данных и применить дополнительные меры для их безопасности. Внедрить систему мониторинга для обмена данными с третьими сторонами."
80,"Превышение полномочий в облачных сервисах","Проверить все облачные учетные записи и ограничить доступ в соответствии с принципом минимальных привилегий. Пересмотреть права доступа сотрудников и настроить уведомления о попытках использования привилегий для выполнения несанкционированных действий."
81,"Невозможность обнаружения и остановки инцидентов в реальном времени","Внедрить систему мониторинга безопасности, которая позволяет обнаруживать инциденты в реальном времени. Использовать средства автоматической реакции и оповещения для немедленного реагирования на угрозы. Обучить команду по реагированию на инциденты для более быстрой ликвидации угроз."
82,"Ненадежная защита данных в транзите","Использовать зашифрованные каналы связи для защиты данных в процессе передачи. Настроить систему мониторинга и защиты для всех передаваемых данных, включая использование SSL/TLS для веб-трафика и VPN для внутренних сетей. Убедиться в правильности конфигурации протоколов шифрования."
83,"Использование пиратских или несанкционированных копий ПО","Провести аудит всех установленных программных продуктов и удалить нелицензионное ПО. Обновить политику закупки программного обеспечения и обеспечить использование только лицензионных версий. Уведомить сотрудников о рисках использования пиратского ПО."
84,"Превышение доступа к данным через сторонние устройства","Проверить все устройства, подключенные к корпоративной сети, на наличие несанкционированных приложений и данных. Ограничить доступ сторонним устройствам к корпоративным системам через систему управления мобильными устройствами (MDM)."
85,"Проблемы с прозрачностью и отчетностью по вопросам безопасности","Провести анализ и обновить процессы отчетности по безопасности, обеспечив их прозрачность. Внедрить системы для регулярной проверки и аудита всех инцидентов и мер по безопасности. Обеспечить отчетность для всех заинтересованных сторон."
86,"Необоснованное развертывание служб или сервисов без анализа рисков","Провести анализ рисков перед развертыванием новых сервисов или приложений. Убедиться в наличии соответствующих мер безопасности и тестирования перед внедрением. Обновить политику по развертыванию и использованию новых сервисов в организации."
87,"Использование плохих практик при реализации безопасности приложений","Пересмотреть и обновить процессы разработки, включив в них лучшие практики безопасного кодирования. Провести обучение разработчиков по вопросам безопасности и внедрить регулярные проверки на безопасность кода."
88,"Отсутствие контроля за мобильными устройствами сотрудников (BYOD)","Внедрить политику BYOD с контролем за мобильными устройствами сотрудников. Настроить систему управления мобильными устройствами (MDM) для контроля доступа и безопасности. Обучить сотрудников мерам защиты при использовании личных устройств в рабочей среде."
89,"Неэффективное управление жизненным циклом данных","Пересмотреть политику управления данными, включая этапы сбора, хранения и удаления данных. Внедрить процедуры для правильного удаления устаревших или ненужных данных. Использовать системы для мониторинга и управления жизненным циклом данных."
90,"Злоупотребление корпоративными ресурсами сотрудниками","Провести аудит использования корпоративных ресурсов и выявить злоупотребления. Обновить внутренние политики использования ресурсов и внедрить мониторинг для предотвращения несанкционированного использования. Применить санкции в случае нарушений."
91,"Отсутствие мониторинга системы безопасности в реальном времени","Внедрить систему мониторинга безопасности, которая обеспечивает обнаружение инцидентов в реальном времени. Обучить сотрудников реагировать на сигналы тревоги и немедленно принимать меры по защите от угроз."
92,"Неэффективное реагирование на угрозы через внешний периметр","Обновить процессы реагирования на угрозы, связанные с внешними периметрами. Внедрить системы защиты от внешних атак, такие как межсетевые экраны, IDS/IPS и системы защиты от DDoS-атак. Провести тренировки для команды реагирования на инциденты."
93,"Недостаточные меры для защиты персональных данных","Провести аудит всех процессов обработки персональных данных и обновить меры защиты. Внедрить систему шифрования для хранения и передачи персональных данных. Убедиться в соблюдении законов о защите персональных данных (GDPR, CCPA)."
94,"Скачивание неавторизованных приложений, установленных на устройствах","Провести аудит всех устройств сотрудников и удалить несанкционированные приложения. Внедрить системы контроля за установкой приложений, включая мобильные устройства. Обучить сотрудников мерам безопасности и рискам установки неофициальных приложений."
95,"Использование поддельных и фальшивых электронных документов","Провести расследование инцидента и выявить источник фальсификации документов. Применить системы для верификации подлинности документов, включая цифровые подписи и блокчейн-технологии. Обучить сотрудников правилам работы с электронными документами."
96,"Использование старых и незащищённых протоколов связи","Провести аудит всех используемых протоколов связи и обновить их до безопасных версий. Отключить устаревшие и уязвимые протоколы, такие как SSL 2.0/3.0 и TLS 1.0. Обучить сотрудников по вопросам безопасности сетевых протоколов."
97,"Превышение прав доступа к корпоративной сети или серверу","Провести расследование инцидента и минимизировать права доступа для всех сотрудников и систем в соответствии с принципом наименьших привилегий. Внедрить системы контроля доступа и мониторинга действий пользователей."
98,"Нарушение принципа минимальных привилегий","Провести аудит прав доступа и уменьшить их для всех сотрудников и систем, следуя принципу минимальных привилегий. Обновить политику управления доступом и внедрить систему автоматической проверки прав."
99,"Неиспользование механизма уведомлений и блокировок при угрозах","Внедрить систему уведомлений и блокировок при угрозах безопасности. Настроить автоматическое оповещение ответственных сотрудников при обнаружении угроз и установку соответствующих мер защиты в реальном времени."
100,"Отсутствие контрольных систем для защиты информации на этапе разработки ПО","Внедрить системы защиты информации на всех этапах разработки ПО, включая тестирование на безопасность, кодирование и внедрение. Обучить разработчиков безопасности и провести регулярные аудиты кода на уязвимости."